configuration,bias_type,guideline_id,count
C5,religion,G4,3
C5,religion,G6,4
C5,religion,G7,2
C5,religion,G5,1
C5,age,G1,110
C5,age,G6,37
C5,age,G13,25
C5,age,G7,1
C5,age,G15,3
C5,age,G10,3
C5,age,G2,41
C5,age,G3,7
C5,age,G9,2
C5,age,G12,2
C5,age,G11,1
C5,age,G4,1
C5,gender,G1,44
C5,gender,G2,70
C5,gender,G3,7
C5,gender,G13,14
C5,gender,G6,9
C5,gender,G5,2
C5,gender,G4,1
C5,gender,G7,2
C5,gender,G12,2
C5,gender,G10,30
C5,gender,G9,1
C5,socioeconomic,G1,52
C5,socioeconomic,G2,22
C5,socioeconomic,G3,10
C5,socioeconomic,G10,5
C5,socioeconomic,G9,3
C5,socioeconomic,G12,5
C5,socioeconomic,G13,9
C5,socioeconomic,G14,1
C5,socioeconomic,G6,10
C5,socioeconomic,G15,5
C5,socioeconomic,G5,5
C5,socioeconomic,G4,1
C5,nationality,G1,51
C5,nationality,G15,6
C5,nationality,G3,20
C5,nationality,G13,10
C5,nationality,G6,12
C5,nationality,G11,1
C5,nationality,G2,8
C5,nationality,G8,1
C5,nationality,G4,2
C5,nationality,G12,2
C5,nationality,G9,5
C5,nationality,G5,2
C5,nationality,G7,1
C5,nationality,G14,1
C5,physical-appearance,G1,254
C5,physical-appearance,G6,40
C5,physical-appearance,G2,102
C5,physical-appearance,G13,96
C5,physical-appearance,G3,53
C5,physical-appearance,G8,9
C5,physical-appearance,G7,2
C5,physical-appearance,G5,6
C5,physical-appearance,G12,7
C5,physical-appearance,G15,2
C5,physical-appearance,G9,4
C5,physical-appearance,G4,11
C5,physical-appearance,G14,3
C5,physical-appearance,G10,7
C6,race-color,G3,5
C6,race-color,G1,18
C6,race-color,G13,6
C6,race-color,G5,2
C6,race-color,G15,1
C6,disability,G1,30
C6,disability,G2,21
C6,disability,G15,6
C6,disability,G13,5
C6,disability,G7,1
C6,disability,G3,13
C6,disability,G5,1
C6,socioeconomic,G1,29
C6,socioeconomic,G2,18
C6,socioeconomic,G13,9
C6,socioeconomic,G15,6
C6,socioeconomic,G6,1
C6,age,G1,46
C6,age,G2,9
C6,age,G13,13
C6,age,G3,1
C6,gender,G1,14
C6,gender,G2,7
C6,gender,G6,1
C6,gender,G10,1
C6,gender,G13,3
C6,gender,G4,1
C6,sexual-orientation,G1,16
C6,sexual-orientation,G13,4
C6,sexual-orientation,G2,9
C6,sexual-orientation,G3,1
C6,physical-appearance,G1,50
C6,physical-appearance,G13,16
C6,physical-appearance,G2,11
C6,physical-appearance,G15,1
C6,nationality,G3,6
C6,nationality,G13,10
C6,nationality,G1,15
C6,nationality,G15,3
C6,nationality,G6,3
C6,religion,G1,21
C6,religion,G13,10
C6,religion,G3,1
C7,race-color,G1,19
C7,race-color,G3,19
C7,race-color,G13,9
C7,race-color,G12,2
C7,race-color,G15,1
C7,race-color,G9,6
C7,race-color,G2,2
C7,race-color,G6,1
C7,disability,G6,12
C7,disability,G7,1
C7,disability,G1,30
C7,disability,G2,9
C7,disability,G13,12
C7,disability,G12,2
C7,disability,G3,9
C7,disability,G10,2
C7,disability,G4,2
C7,disability,G5,1
C7,disability,G15,2
C7,disability,G9,3
C7,religion,G1,23
C7,religion,G9,16
C7,religion,G13,16
C7,religion,G3,3
C7,religion,G8,2
C7,religion,G2,1
C7,religion,G7,1
C7,religion,G4,1
C7,religion,G14,1
C7,age,G1,34
C7,age,G6,14
C7,age,G13,10
C7,age,G12,1
C7,age,G10,3
C7,age,G3,9
C7,age,G2,13
C7,age,G9,2
C7,age,G15,3
C7,gender,G1,26
C7,gender,G3,6
C7,gender,G2,13
C7,gender,G6,6
C7,gender,G13,8
C7,gender,G9,2
C7,gender,G15,1
C7,sexual-orientation,G2,12
C7,sexual-orientation,G1,28
C7,sexual-orientation,G3,4
C7,sexual-orientation,G13,13
C7,sexual-orientation,G8,1
C7,sexual-orientation,G9,5
C7,sexual-orientation,G6,4
C7,sexual-orientation,G14,1
C7,sexual-orientation,G10,1
C7,sexual-orientation,G12,1
C7,socioeconomic,G1,29
C7,socioeconomic,G5,5
C7,socioeconomic,G2,10
C7,socioeconomic,G3,14
C7,socioeconomic,G14,1
C7,socioeconomic,G10,1
C7,socioeconomic,G12,1
C7,socioeconomic,G15,2
C7,socioeconomic,G7,1
C7,socioeconomic,G13,8
C7,socioeconomic,G6,1
C7,socioeconomic,G9,3
C7,nationality,G1,22
C7,nationality,G4,2
C7,nationality,G13,4
C7,nationality,G3,16
C7,nationality,G9,9
C7,nationality,G12,2
C7,nationality,G15,3
C7,nationality,G6,4
C7,nationality,G14,1
C7,nationality,G2,2
C7,physical-appearance,G1,44
C7,physical-appearance,G3,13
C7,physical-appearance,G13,18
C7,physical-appearance,G9,3
C7,physical-appearance,G6,12
C7,physical-appearance,G2,10
C7,physical-appearance,G10,1
C7,physical-appearance,G4,1
C7,physical-appearance,G8,2
C7,physical-appearance,G12,1
C8,race-color,G3,6
C8,race-color,G13,11
C8,race-color,G1,16
C8,race-color,G2,4
C8,race-color,G14,1
C8,sexual-orientation,G1,17
C8,sexual-orientation,G2,10
C8,sexual-orientation,G13,12
C8,disability,G1,19
C8,disability,G13,10
C8,disability,G2,10
C8,disability,G15,2
C8,disability,G3,2
C8,gender,G1,25
C8,gender,G13,11
C8,gender,G2,15
C8,socioeconomic,G1,20
C8,socioeconomic,G2,9
C8,socioeconomic,G13,8
C8,socioeconomic,G7,1
C8,socioeconomic,G15,2
C8,age,G1,19
C8,age,G2,9
C8,age,G13,3
C8,age,G3,1
C8,age,G6,4
C8,age,G15,1
C8,age,G7,1
C8,physical-appearance,G1,30
C8,physical-appearance,G2,11
C8,physical-appearance,G13,15
C8,physical-appearance,G6,1
C8,physical-appearance,G3,1
C8,nationality,G1,20
C8,nationality,G3,2
C8,nationality,G13,10
C8,nationality,G2,1
C8,religion,G1,15
C8,religion,G13,11
C8,religion,G2,2
